action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,112,5,,,,,White,,,,,2,Female,0,2013,0205.09,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,19,Brunswick County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,48900,Wilmington - NC,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0125604,37,NC,North Carolina,62700,140,3310,1742,13.539999961853027,4402,,95.58999633789062
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,129,5,,,,,White,,,,,1,Male,0,2013,0120.04,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,129,New Hanover County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,48900,Wilmington - NC,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0123673,37,NC,North Carolina,62700,153,1513,1255,7.949999809265137,3649,,169.42999267578125
2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,59,2,,,,,Asian,,,,,1,Male,0,2013,9201.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,141,Pender County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,48900,Wilmington - NC,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0129879,37,NC,North Carolina,62700,68,2518,1383,10.9399995803833,4004,,95.36000061035156
2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,100,5,,,,,White,,,,,1,Male,0,2013,0205.10,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,19,Brunswick County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,48900,Wilmington - NC,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0132018,37,NC,North Carolina,62700,168,2451,965,11.0600004196167,2160,,91.5999984741211
2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,111,5,,,,,White,,,,,1,Male,0,2013,9206.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,141,Pender County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,48900,Wilmington - NC,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0132841,37,NC,North Carolina,62700,165,2534,1769,25.84000015258789,5775,,91.1500015258789
2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",68,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,0,2013,0121.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,129,New Hanover County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,48900,Wilmington - NC,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0128414,37,NC,North Carolina,62700,180,1842,1567,8.569999694824219,4307,,138.0500030517578
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,193,3,,,,,Black or African American,,,,,1,Male,0,2013,0123.00,2,Not Hispanic or Latino,3,,,,,Black or African American,,,,,2,Female,129,New Hanover County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,48900,Wilmington - NC,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0125002,37,NC,North Carolina,62700,285,3146,2261,7.860000133514404,7167,,150.3000030517578
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,85,5,,,,,White,,,,,1,Male,0,2013,0203.08,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,19,Brunswick County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,48900,Wilmington - NC,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0131708,37,NC,North Carolina,62700,221,2203,701,2.369999885559082,1648,,99.2699966430664
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2013,0205.01,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,7,Benton County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,22220,"Fayetteville, Springdale, Rogers - AR, MO",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000852320,0153730,5,AR,Arkansas,56700,202,1630,1147,21.170000076293945,5073,,106.30000305175781
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,84,5,,,,,White,,,,,1,Male,0,2013,0203.09,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,19,Brunswick County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,48900,Wilmington - NC,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000617677,0134619,37,NC,North Carolina,62700,283,2946,944,3.9100000858306885,2734,,94.19999694824219
